root_cause,bucket,count,mean_iters,median_iters,mean_tokens,mean_duration_s,by_source
A,architectural,0,,,,,
A,implementation,207,4.27,4,10302.0,123.0,baseline=9;sample_passed=86;under_attack=112
A,n/a,0,,,,,
B,architectural,76,5.84,6.0,10293.0,220.6,baseline=4;sample_passed=16;under_attack=56
B,implementation,0,,,,,
B,n/a,0,,,,,
C,architectural,9,0.56,1,803.0,0.1,secpol=9
D,architectural,48,5.52,6.0,12337.0,296.9,baseline=3;secpol=3;under_attack=42
D,implementation,0,,,,,
D,n/a,0,,,,,
E,architectural,0,,,,,
E,implementation,91,4.9,4,13889.0,219.7,baseline=7;under_attack=84
E,n/a,0,,,,,
F,architectural,0,,,,,
F,implementation,45,5.76,7,9502.0,107.8,baseline=3;under_attack=42
F,n/a,0,,,,,
G,architectural,0,,,,,
G,implementation,37,6.22,7,16422.0,185.6,baseline=3;secpol=1;under_attack=33
G,n/a,0,,,,,
H,architectural,0,,,,,
H,implementation,46,4.26,3.5,17161.0,133.0,baseline=4;under_attack=42
H,n/a,0,,,,,
I,architectural,65,4.58,4,11841.0,121.7,baseline=5;under_attack=60
I,implementation,0,,,,,
I,n/a,0,,,,,
